method,mAP,Rank-1,Rank-5,Rank-10
CLIP baseline,0.2404812738887115,0.17000000178813934,0.3700000047683716,0.5049999952316284
CLIP rerank k1=6 k2=1 lambda=0.1,0.25689606081707766,0.18000000715255737,0.3400000035762787,0.5
CLIP rerank k1=6 k2=1 lambda=0.3,0.2579510318086112,0.18000000715255737,0.33500000834465027,0.4950000047683716
CLIP rerank k1=6 k2=1 lambda=0.5,0.25511877801624816,0.1850000023841858,0.3499999940395355,0.4950000047683716
CLIP rerank k1=6 k2=1 lambda=0.7,0.25139598257353485,0.18000000715255737,0.35499998927116394,0.49000000953674316
CLIP rerank k1=6 k2=3 lambda=0.1,0.2649882045601478,0.20999999344348907,0.3050000071525574,0.39500001072883606
CLIP rerank k1=6 k2=3 lambda=0.3,0.2680423355533405,0.2150000035762787,0.3149999976158142,0.4350000023841858
CLIP rerank k1=6 k2=3 lambda=0.5,0.2683226992766323,0.20499999821186066,0.33000001311302185,0.4950000047683716
CLIP rerank k1=6 k2=3 lambda=0.7,0.2639000911843435,0.20499999821186066,0.35499998927116394,0.4950000047683716
CLIP rerank k1=6 k2=6 lambda=0.1,0.23782397847150274,0.17499999701976776,0.3100000023841858,0.4099999964237213
CLIP rerank k1=6 k2=6 lambda=0.3,0.24300772480907043,0.18000000715255737,0.33000001311302185,0.4350000023841858
CLIP rerank k1=6 k2=6 lambda=0.5,0.24525886587357376,0.17499999701976776,0.35499998927116394,0.44999998807907104
CLIP rerank k1=6 k2=6 lambda=0.7,0.24347498674055396,0.17000000178813934,0.36000001430511475,0.4650000035762787
CLIP rerank k1=10 k2=1 lambda=0.1,0.25425235599331125,0.19499999284744263,0.3449999988079071,0.47999998927116394
CLIP rerank k1=10 k2=1 lambda=0.3,0.25732613274466914,0.1899999976158142,0.36000001430511475,0.4950000047683716
CLIP rerank k1=10 k2=1 lambda=0.5,0.2523095739195727,0.1850000023841858,0.36000001430511475,0.49000000953674316
CLIP rerank k1=10 k2=1 lambda=0.7,0.2490331701657502,0.18000000715255737,0.36500000953674316,0.5049999952316284
CLIP rerank k1=10 k2=3 lambda=0.1,0.2686084921077272,0.20000000298023224,0.33500000834465027,0.4399999976158142
CLIP rerank k1=10 k2=3 lambda=0.3,0.2705956664417964,0.20499999821186066,0.3400000035762787,0.4699999988079071
CLIP rerank k1=10 k2=3 lambda=0.5,0.2724715597457067,0.20999999344348907,0.33500000834465027,0.48500001430511475
CLIP rerank k1=10 k2=3 lambda=0.7,0.26828674978775047,0.20999999344348907,0.3449999988079071,0.5
CLIP rerank k1=10 k2=6 lambda=0.1,0.24463835086745675,0.18000000715255737,0.33000001311302185,0.41999998688697815
CLIP rerank k1=10 k2=6 lambda=0.3,0.25039760620784024,0.1850000023841858,0.33000001311302185,0.4449999928474426
CLIP rerank k1=10 k2=6 lambda=0.5,0.25000943395173086,0.1850000023841858,0.3499999940395355,0.4699999988079071
CLIP rerank k1=10 k2=6 lambda=0.7,0.24953195395273006,0.1850000023841858,0.375,0.4749999940395355
CLIP rerank k1=15 k2=1 lambda=0.1,0.2561576813971703,0.20000000298023224,0.32499998807907104,0.47999998927116394
CLIP rerank k1=15 k2=1 lambda=0.3,0.2576986850827427,0.20499999821186066,0.3449999988079071,0.49000000953674316
CLIP rerank k1=15 k2=1 lambda=0.5,0.2546124463729342,0.1850000023841858,0.3449999988079071,0.5
CLIP rerank k1=15 k2=1 lambda=0.7,0.2455613384083739,0.16500000655651093,0.35499998927116394,0.5049999952316284
CLIP rerank k1=15 k2=3 lambda=0.1,0.26116610739197027,0.20000000298023224,0.30000001192092896,0.41999998688697815
CLIP rerank k1=15 k2=3 lambda=0.3,0.26240494695577554,0.20000000298023224,0.3050000071525574,0.4399999976158142
CLIP rerank k1=15 k2=3 lambda=0.5,0.26665130908819523,0.20499999821186066,0.33500000834465027,0.47999998927116394
CLIP rerank k1=15 k2=3 lambda=0.7,0.2607168261933516,0.20000000298023224,0.3400000035762787,0.5
CLIP rerank k1=15 k2=6 lambda=0.1,0.24557733386095748,0.18000000715255737,0.32499998807907104,0.4350000023841858
CLIP rerank k1=15 k2=6 lambda=0.3,0.24726429722179222,0.17499999701976776,0.32499998807907104,0.45500001311302185
CLIP rerank k1=15 k2=6 lambda=0.5,0.24549323703300582,0.17499999701976776,0.33000001311302185,0.4650000035762787
CLIP rerank k1=15 k2=6 lambda=0.7,0.2431943322126021,0.17000000178813934,0.35499998927116394,0.4749999940395355
CLIP rerank k1=20 k2=1 lambda=0.1,0.23316087079057993,0.17000000178813934,0.3050000071525574,0.44999998807907104
CLIP rerank k1=20 k2=1 lambda=0.3,0.23676427982042136,0.16500000655651093,0.3100000023841858,0.4650000035762787
CLIP rerank k1=20 k2=1 lambda=0.5,0.24251364957402616,0.17000000178813934,0.3199999928474426,0.4950000047683716
CLIP rerank k1=20 k2=1 lambda=0.7,0.24282684400030038,0.17499999701976776,0.33000001311302185,0.5049999952316284
CLIP rerank k1=20 k2=3 lambda=0.1,0.25357975568972774,0.1850000023841858,0.3050000071525574,0.4300000071525574
CLIP rerank k1=20 k2=3 lambda=0.3,0.25657327444678535,0.1899999976158142,0.29499998688697815,0.45500001311302185
CLIP rerank k1=20 k2=3 lambda=0.5,0.259830872585348,0.1899999976158142,0.3100000023841858,0.4650000035762787
CLIP rerank k1=20 k2=3 lambda=0.7,0.2511085638883005,0.17000000178813934,0.33000001311302185,0.48500001430511475
CLIP rerank k1=20 k2=6 lambda=0.1,0.24224674572577753,0.17000000178813934,0.3100000023841858,0.44999998807907104
CLIP rerank k1=20 k2=6 lambda=0.3,0.2489750141069928,0.18000000715255737,0.33500000834465027,0.4650000035762787
CLIP rerank k1=20 k2=6 lambda=0.5,0.2471871996601717,0.18000000715255737,0.33500000834465027,0.4699999988079071
CLIP rerank k1=20 k2=6 lambda=0.7,0.243644037361708,0.17000000178813934,0.36500000953674316,0.4749999940395355
CLIP rerank k1=30 k2=1 lambda=0.1,0.18833139511639765,0.10499999672174454,0.26499998569488525,0.4449999928474426
CLIP rerank k1=30 k2=1 lambda=0.3,0.20116396700740333,0.125,0.26499998569488525,0.4650000035762787
CLIP rerank k1=30 k2=1 lambda=0.5,0.2074709903333347,0.12999999523162842,0.2800000011920929,0.4650000035762787
CLIP rerank k1=30 k2=1 lambda=0.7,0.2197125235195715,0.14499999582767487,0.32499998807907104,0.48500001430511475
CLIP rerank k1=30 k2=3 lambda=0.1,0.23728336837182062,0.17000000178813934,0.26499998569488525,0.4350000023841858
CLIP rerank k1=30 k2=3 lambda=0.3,0.2435035551663291,0.18000000715255737,0.2800000011920929,0.4350000023841858
CLIP rerank k1=30 k2=3 lambda=0.5,0.24455042246355943,0.18000000715255737,0.3149999976158142,0.4399999976158142
CLIP rerank k1=30 k2=3 lambda=0.7,0.23843510296390136,0.1599999964237213,0.3149999976158142,0.4699999988079071
CLIP rerank k1=30 k2=6 lambda=0.1,0.2358806253859579,0.1599999964237213,0.28999999165534973,0.4050000011920929
CLIP rerank k1=30 k2=6 lambda=0.3,0.23565304029043965,0.1599999964237213,0.30000001192092896,0.42500001192092896
